izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
47408,Hillary Clinton,81,41,74,81,80,81,57,98,53,70,32,80,96,69,4,Somewhat confident,No,No,Strong Democrat,Very liberal,Not too important,03dec2016 18:29:20,03dec2016 18:48:00
75228,Hillary Clinton,76,50,71,71,51,96,21,99,50,21,5,81,61,78,0,Not too confident,Yes,Yes,Independent,Liberal,Not at all important,09dec2016 20:43:29,09dec2016 21:01:17
97219,Hillary Clinton,79,90,69,76,72,76,6,70,54,65,39,95,51,83,0,Not at all confident,Yes,Yes,Strong Democrat,Very liberal,Not at all important,04dec2016 04:25:24,04dec2016 04:39:04
44485,Donald Trump,95,98,96,98,80,100,100,70,95,10,70,80,51,99,3,Somewhat confident,No,No,Independent,Moderate,Very important,07dec2016 13:40:49,07dec2016 14:38:48
85050,Hillary Clinton,16,80,48,65,22,73,14,69,67,7,22,84,53,50,3,Very confident,No,No,Not very strong Democrat,Liberal,Not at all important,12dec2016 18:08:37,12dec2016 18:38:28
11412,Hillary Clinton,98,62,55,53,96,92,33,97,95,99,3,90,98,30,3,Not at all confident,Yes,Yes,Strong Democrat,Very liberal,Not too important,09dec2016 12:46:17,09dec2016 12:59:47
70043,Donald Trump,97,96,80,99,66,100,100,72,55,89,76,83,73,100,1,Very confident,No,No,Strong Republican,Very conservative,Very important,03dec2016 06:07:58,03dec2016 06:27:28
2790,Donald Trump,95,96,97,92,84,97,100,38,97,1,91,79,12,99,45,Somewhat confident,Yes,Yes,Lean Republican,Conservative,Very important,03dec2016 15:23:30,03dec2016 15:45:42
76087,Donald Trump,100,100,99,82,50,100,100,28,53,3,49,20,50,100,5,Somewhat confident,No,No,Strong Republican,Conservative,Very important,19dec2016 08:26:56,19dec2016 08:40:40
74729,Donald Trump,28,66,39,44,3,61,78,42,32,12,13,13,14,86,9,Somewhat confident,Yes,Yes,Not very strong Republican,Moderate,Somewhat important,09dec2016 06:25:18,09dec2016 07:23:39
85204,Hillary Clinton,80,77,70,75,61,80,59,82,41,10,5,84,30,100,12,Not at all confident,Yes,Yes,Lean Democrat,Moderate,Somewhat important,19dec2016 18:47:58,19dec2016 19:12:05
38611,Donald Trump,47,69,23,79,29,76,74,6,65,2,50,5,54,99,2,Not too confident,No,No,Strong Republican,Conservative,Very important,08dec2016 22:07:25,08dec2016 22:24:31
6468,Jill Stein,100,50,100,95,96,100,50,100,96,100,0,95,100,0,0,Not too confident,Yes,Yes,Independent,Moderate,Not at all important,09dec2016 12:35:40,09dec2016 12:51:12
52003,Hillary Clinton,50,72,82,52,14,95,96,61,51,49,7,52,4,99,29,Not at all confident,No,No,Strong Democrat,Moderate,Somewhat important,10dec2016 07:06:05,10dec2016 07:32:21
60565,Hillary Clinton,68,69,84,85,60,91,86,50,88,80,40,74,50,79,0,Somewhat confident,No,No,Independent,Moderate,Very important,09dec2016 13:26:59,09dec2016 13:47:07
92373,Hillary Clinton,59,50,100,74,52,72,15,88,83,1,1,80,100,86,1,Very confident,No,Yes,Strong Democrat,Moderate,Not too important,02dec2016 14:10:30,02dec2016 14:33:11
22405,Donald Trump,54,81,69,80,63,93,98,75,60,22,20,50,51,93,47,Very confident,No,No,Strong Republican,Conservative,Very important,06dec2016 22:48:28,06dec2016 23:13:49
6902,Donald Trump,64,93,59,58,79,80,93,30,46,23,53,79,50,92,52,Very confident,No,No,Not very strong Republican,Moderate,Somewhat important,05dec2016 06:41:56,05dec2016 06:57:58
11357,Donald Trump,80,99,58,95,20,95,81,38,23,13,53,99,20,64,40,Somewhat confident,Yes,Yes,Lean Republican,Moderate,Somewhat important,11dec2016 14:00:59,11dec2016 21:13:07
17408,Hillary Clinton,97,97,98,99,98,100,100,95,100,42,50,99,94,99,53,Not at all confident,No,No,Not very strong Democrat,Moderate,Very important,04dec2016 14:24:21,04dec2016 14:46:08
32309,Donald Trump,87,87,87,95,79,91,81,41,82,40,38,53,34,94,11,Somewhat confident,Yes,No,Not very strong Republican,Conservative,Very important,18dec2016 18:01:10,18dec2016 18:30:32
94606,Hillary Clinton,97,51,48,69,48,50,80,51,7,79,6,50,99,52,4,Not too confident,No,Yes,Strong Democrat,Moderate,Somewhat important,13dec2016 14:08:58,13dec2016 14:35:39
51104,Hillary Clinton,80,80,77,90,69,88,59,91,60,84,39,88,47,87,29,Not too confident,No,No,Strong Democrat,Liberal,Not at all important,03dec2016 16:23:14,03dec2016 16:39:54
73120,Hillary Clinton,50,50,50,45,41,60,41,50,50,31,12,60,21,90,0,Not too confident,Yes,Yes,Lean Democrat,Moderate,Not too important,09dec2016 23:44:54,18dec2016 18:52:09
21921,Hillary Clinton,60,69,67,81,50,63,60,90,51,50,33,54,33,43,1,Somewhat confident,No,Yes,Lean Democrat,Liberal,Somewhat important,05dec2016 18:09:36,08dec2016 15:50:11
33071,Donald Trump,67,97,80,72,50,87,98,35,71,6,86,50,12,93,32,Somewhat confident,Yes,Yes,Independent,Moderate,Somewhat important,05dec2016 18:00:21,05dec2016 18:38:41
89130,Hillary Clinton,60,80,80,75,45,96,75,76,56,26,26,80,50,80,24,Not too confident,Yes,Yes,Not very strong Democrat,Liberal,Not too important,10dec2016 00:16:45,22dec2016 00:06:12
44053,Gary Johnson,91,97,91,94,8,93,90,50,13,6,41,89,51,100,51,Very confident,No,Yes,Not very strong Republican,Moderate,Somewhat important,16dec2016 04:47:05,16dec2016 05:01:12
42240,Hillary Clinton,84,95,79,89,90,100,95,82,90,70,5,58,84,99,5,Not too confident,Yes,Yes,Strong Democrat,Moderate,Very important,09dec2016 15:55:05,09dec2016 16:45:49
44870,Hillary Clinton,51,99,50,53,60,56,98,99,60,49,11,94,98,97,0,Not at all confident,No,No,Strong Democrat,Moderate,Somewhat important,09dec2016 15:03:15,09dec2016 15:19:42
48081,Gary Johnson,92,88,82,69,80,67,100,88,84,66,19,82,84,58,28,Somewhat confident,No,No,Independent,Moderate,Very important,03dec2016 15:24:19,03dec2016 15:34:10
8080,Hillary Clinton,66,77,71,76,45,66,69,95,86,56,40,90,75,98,54,Not too confident,No,No,Lean Democrat,Moderate,Very important,12dec2016 17:43:29,12dec2016 17:57:29
