izip_2016,presvote16post_2016,ft_black_2016,ft_white_2016,ft_hisp_2016,ft_asian_2016,ft_muslim_2016,ft_jew_2016,ft_christ_2016,ft_fem_2016,ft_immig_2016,ft_blm_2016,ft_wallst_2016,ft_gays_2016,ft_unions_2016,ft_police_2016,ft_altright_2016,accurately_counted2_2016,alcohol_2016,smoke100_2016,pid7_2016,ideo5_2016,pew_religimp_2016,starttime_2016,endtime_2016
30121,Hillary Clinton,91,78,97,90,92,96,97,55,98,85,18,100,56,93,6,Very confident,Yes,No,Lean Democrat,Moderate,Very important,09dec2016 17:13:13,09dec2016 17:41:29
49508,Donald Trump,59,66,77,53,NA,53,74,10,11,NA,6,47,68,88,31,Very confident,No,No,Strong Republican,Moderate,Very important,02dec2016 21:30:57,02dec2016 21:47:16
21213,Hillary Clinton,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,Somewhat confident,Yes,Yes,Strong Democrat,Not sure,Very important,15dec2016 14:37:27,15dec2016 15:13:30
1201,Hillary Clinton,12,99,99,100,70,100,100,51,27,0,50,100,50,70,4,Not too confident,Yes,Yes,Independent,Very liberal,Very important,01dec2016 19:05:23,01dec2016 20:14:46
12303,Gary Johnson,51,51,52,52,51,51,50,29,51,32,31,50,41,61,38,Somewhat confident,Yes,Yes,Lean Republican,Moderate,Not at all important,02dec2016 18:20:55,02dec2016 18:34:51
89117,Donald Trump,40,90,90,80,40,100,100,0,30,0,11,60,78,100,NA,Very confident,Yes,Yes,Strong Republican,Very conservative,Somewhat important,09dec2016 18:15:23,09dec2016 18:51:23
14214,Hillary Clinton,93,90,88,81,80,79,89,88,NA,78,79,48,83,95,NA,Not too confident,No,No,Strong Democrat,Conservative,Not too important,06dec2016 14:12:12,06dec2016 14:26:30
79072,Hillary Clinton,84,85,84,58,38,26,96,25,91,20,49,16,97,94,29,Somewhat confident,Yes,No,Strong Democrat,Moderate,Very important,06dec2016 07:17:17,06dec2016 07:51:24
13606,Donald Trump,51,50,51,51,51,50,51,51,50,1,50,51,25,90,50,Very confident,No,No,Not very strong Democrat,Conservative,Very important,09dec2016 05:42:09,09dec2016 06:05:02
27909,Hillary Clinton,47,78,19,59,40,45,80,21,48,NA,31,75,51,60,NA,Somewhat confident,No,No,Independent,Moderate,Somewhat important,06dec2016 15:20:10,06dec2016 15:51:34
